Date,Flow,Hour,Line
2020-07-10,-119.64302,2,C34
2020-07-10,-178.6536,2,C35
2020-07-10,-26.209579,2,C4
2020-07-10,1.850978,2,C5
2020-07-10,23.672389,2,C6
2020-07-10,-114.18181,2,C7
2020-07-10,-55.331027,2,C8
2020-07-10,-28.774727,2,C9
2020-07-10,-178.6536,2,CA-1
2020-07-10,375.55931,2,CB-1
2020-07-10,19.534588,3,A1
2020-07-10,-37.831987,3,A10
2020-07-10,20.485584,3,A11
2020-07-10,-37.880654,3,A12-1
2020-07-10,-19.223221,3,A13-2
2020-07-10,-49.413177,3,A14
2020-07-10,-23.912502,3,A15
2020-07-10,-86.061707,3,A16
2020-07-10,-60.561032,3,A17
2020-07-10,66.514638,3,A18
2020-07-10,-201.98952,3,A19
2020-07-10,-39.665639,3,A2
2020-07-10,21.888456,3,A20
2020-07-10,-106.36199,3,A21
2020-07-10,-130.66389,3,A22
2020-07-10,-290.01499,3,A23
2020-07-10,209.358,3,A24
2020-07-10,-239.21151,3,A25-1
2020-07-10,-239.21151,3,A25-2
2020-07-10,187.2296,3,A26
2020-07-10,-445.58994,3,A27
2020-07-10,381.559,3,A28
2020-07-10,-145.95827,3,A29
2020-07-10,31.127182,3,A3
2020-07-10,-299.63167,3,A30
2020-07-10,-63.526767,3,A31-1
2020-07-10,-63.526767,3,A31-2
2020-07-10,149.71607,3,A32-1
2020-07-10,149.71607,3,A32-2
2020-07-10,120.67674,3,A33-1
2020-07-10,120.67674,3,A33-2
2020-07-10,-408.32667,3,A34
2020-07-10,11.645266,3,A4
2020-07-10,23.876588,3,A5
2020-07-10,65.89085,3,A6
2020-07-10,-187.2296,3,A7
2020-07-10,-21.931458,3,A8
2020-07-10,-1.088324,3,A9
2020-07-10,92.796976,3,AB1
2020-07-10,98.826014,3,AB2
2020-07-10,206.3276,3,AB3
2020-07-10,10.102572,3,B1
2020-07-10,-49.127154,3,B10
2020-07-10,-61.706271,3,B11
2020-07-10,-83.02332,3,B12-1
2020-07-10,-63.097131,3,B13-2
2020-07-10,-58.981598,3,B14
2020-07-10,-84.961276,3,B15
2020-07-10,-98.122327,3,B16
2020-07-10,-124.102,3,B17
2020-07-10,-60.958566,3,B18
2020-07-10,-96.145358,3,B19
2020-07-10,-45.319356,3,B2
2020-07-10,-15.49413,3,B20
2020-07-10,-193.56915,3,B21
2020-07-10,-207.26999,3,B22
2020-07-10,-191.91349,3,B23
2020-07-10,2.860029,3,B24
2020-07-10,-65.732816,3,B25-1
2020-07-10,-65.732816,3,B25-2
2020-07-10,99.169512,3,B26
2020-07-10,-136.92646,3,B27
2020-07-10,-39.492017,3,B28
2020-07-10,89.910042,3,B29
2020-07-10,21.310899,3,B3
2020-07-10,-20.508904,3,B30
2020-07-10,-37.237732,3,B31-1
2020-07-10,-37.237732,3,B31-2
2020-07-10,-64.421349,3,B32-1
2020-07-10,-64.421349,3,B32-2
2020-07-10,-96.01496,3,B33-1
2020-07-10,-96.01496,3,B33-2
2020-07-10,-35.941096,3,B34
2020-07-10,4.209237,3,B4
2020-07-10,18.009269,3,B5
2020-07-10,57.790102,3,B6
2020-07-10,-99.169512,3,B7
2020-07-10,-32.320876,3,B8
2020-07-10,-13.738263,3,B9
2020-07-10,20.890914,3,C1
2020-07-10,-48.139405,3,C10
2020-07-10,-46.930704,3,C11
2020-07-10,-70.036872,3,C12-1
2020-07-10,-41.095036,3,C13-2
2020-07-10,-37.976775,3,C14
2020-07-10,-35.908076,3,C15
2020-07-10,-94.82681,3,C16
2020-07-10,-92.758112,3,C17
2020-07-10,-9.356832,3,C18
2020-07-10,-123.44675,3,C19
2020-07-10,-62.9571,3,C2
2020-07-10,-12.977055,3,C20
2020-07-10,-115.68913,3,C21
2020-07-10,-121.82698,3,C22
2020-07-10,-196.28321,3,C23
2020-07-10,-16.166603,3,C24
2020-07-10,-100.15757,3,C25-1
2020-07-10,-100.15757,3,C25-2
2020-07-10,97.465477,3,C26
2020-07-10,-342.67308,3,C27
2020-07-10,154.67871,3,C28
2020-07-10,376.93383,3,C29
2020-07-10,1.518058,3,C3
2020-07-10,-28.742901,3,C30
2020-07-10,-38.479313,3,C31-1
2020-07-10,-38.479313,3,C31-2
2020-07-10,43.361526,3,C32-1
2020-07-10,43.361526,3,C32-2
2020-07-10,19.333005,3,C33-1
2020-07-10,19.333005,3,C33-2
2020-07-10,-107.27377,3,C34
2020-07-10,-198.8501,3,C35
2020-07-10,-18.448513,3,C4
2020-07-10,2.921201,3,C5
2020-07-10,53.99483,3,C6
2020-07-10,-97.465477,3,C7
2020-07-10,-46.23149,3,C8
2020-07-10,-25.138582,3,C9
2020-07-10,-198.8501,3,CA-1
2020-07-10,328.86906,3,CB-1
2020-07-10,39.259427,4,A1
2020-07-10,-14.578966,4,A10
2020-07-10,14.743987,4,A11
2020-07-10,-36.033734,4,A12-1
2020-07-10,-25.060686,4,A13-2
2020-07-10,-32.290894,4,A14
2020-07-10,-17.39736,4,A15
2020-07-10,-53.845096,4,A16
2020-07-10,-38.951562,4,A17
2020-07-10,62.311895,4,A18
2020-07-10,-148.44789,4,A19
2020-07-10,0.028784,4,A2
2020-07-10,36.24821,4,A20
2020-07-10,-92.597132,4,A21
2020-07-10,-123.23949,4,A22
2020-07-10,-234.48678,4,A23
2020-07-10,133.40058,4,A24
2020-07-10,-173.73242,4,A25-1
2020-07-10,-173.73242,4,A25-2
2020-07-10,135.47494,4,A26
2020-07-10,-338.57667,4,A27
2020-07-10,286.14053,4,A28
2020-07-10,-83.992444,4,A29
2020-07-10,64.813848,4,A3
2020-07-10,-254.58423,4,A30
2020-07-10,-30.83888,4,A31-1
2020-07-10,-30.83888,4,A31-2
2020-07-10,102.93357,4,A32-1
2020-07-10,102.93357,4,A32-2
2020-07-10,74.549601,4,A33-1
2020-07-10,74.549601,4,A33-2
2020-07-10,-364.0241,4,A34
2020-07-10,41.103022,4,A4
2020-07-10,45.736959,4,A5
2020-07-10,55.673821,4,A6
2020-07-10,-135.47494,4,A7
2020-07-10,8.284062,4,A8
2020-07-10,33.325387,4,A9
2020-07-10,99.818582,4,AB1
2020-07-10,104.27224,4,AB2
2020-07-10,204.59105,4,AB3
2020-07-10,10.931043,4,B1
2020-07-10,-45.145281,4,B10
2020-07-10,-59.269442,4,B11
2020-07-10,-80.221496,4,B12-1
2020-07-10,-60.128543,4,B13-2
2020-07-10,-54.837268,4,B14
2020-07-10,-74.070692,4,B15
2020-07-10,-94.305569,4,B16
2020-07-10,-113.53899,4,B17
2020-07-10,-47.25785,4,B18
2020-07-10,-101.88499,4,B19
2020-07-10,-46.411142,4,B2
2020-07-10,-13.599356,4,B20
2020-07-10,-174.01033,4,B21
2020-07-10,-186.50842,4,B22
2020-07-10,-193.87116,4,B23
2020-07-10,16.703752,4,B24
2020-07-10,-65.304776,4,B25-1
2020-07-10,-65.304776,4,B25-2
2020-07-10,95.720739,4,B26
2020-07-10,-141.7877,4,B27
2020-07-10,10.204741,4,B28
2020-07-10,83.525992,4,B29
2020-07-10,23.554635,4,B3
2020-07-10,-20.722645,4,B30
2020-07-10,-37.183901,4,B31-1
2020-07-10,-37.183901,4,B31-2
2020-07-10,-37.808706,4,B32-1
2020-07-10,-37.808706,4,B32-2
2020-07-10,-68.15466,4,B33-1
2020-07-10,-68.15466,4,B33-2
2020-07-10,-34.977355,4,B34
2020-07-10,5.598083,4,B4
2020-07-10,19.339873,4,B5
2020-07-10,63.780182,4,B6
2020-07-10,-95.720739,4,B7
2020-07-10,-29.489427,4,B8
2020-07-10,-10.110409,4,B9
2020-07-10,22.109338,4,C1
2020-07-10,-46.651878,4,C10
2020-07-10,-45.334945,4,C11
2020-07-10,-66.086293,4,C12-1
2020-07-10,-41.266858,4,C13-2
2020-07-10,-36.830355,4,C14
2020-07-10,-48.652083,4,C15
2020-07-10,-85.582816,4,C16
2020-07-10,-97.404544,4,C17
2020-07-10,-33.246197,4,C18
2020-07-10,-89.166973,4,C19
2020-07-10,-62.682871,4,C2
2020-07-10,-12.558174,4,C20
2020-07-10,-133.49845,4,C21
2020-07-10,-141.91446,4,C22
2020-07-10,-159.52681,4,C23
2020-07-10,-4.672647,4,C24
2020-07-10,-88.470578,4,C25-1
2020-07-10,-88.470578,4,C25-2
2020-07-10,66.644382,4,C26
2020-07-10,-171.06681,4,C27
2020-07-10,32.599396,4,C28
2020-07-10,83.959943,4,C29
2020-07-10,1.40414,4,C3
2020-07-10,-51.651751,4,C30
2020-07-10,-37.820213,4,C31-1
2020-07-10,-37.820213,4,C31-2
2020-07-10,-16.522802,4,C32-1
2020-07-10,-16.522802,4,C32-2
2020-07-10,-39.734295,4,C33-1
2020-07-10,-39.734295,4,C33-2
2020-07-10,-82.581582,4,C34
2020-07-10,-354.8815,4,C35
2020-07-10,-15.743122,4,C4
2020-07-10,2.672543,4,C5
2020-07-10,59.729189,4,C6
2020-07-10,-66.644382,4,C7
2020-07-10,-42.58141,4,C8
2020-07-10,-24.346109,4,C9
2020-07-10,-354.8815,4,CA-1
2020-07-10,38.828074,4,CB-1
2020-07-10,38.716886,5,A1
2020-07-10,-15.247476,5,A10
2020-07-10,25.50066,5,A11
2020-07-10,-30.653822,5,A12-1
2020-07-10,-19.975766,5,A13-2
2020-07-10,-31.175623,5,A14
2020-07-10,-16.411409,5,A15
2020-07-10,-52.150376,5,A16
2020-07-10,-37.386162,5,A17
2020-07-10,54.426968,5,A18
2020-07-10,-137.75297,5,A19
2020-07-10,1.089318,5,A2
2020-07-10,28.589593,5,A20
2020-07-10,-82.387163,5,A21
2020-07-10,-107.63052,5,A22
2020-07-10,-224.12296,5,A23
2020-07-10,156.54541,5,A24
2020-07-10,-183.90766,5,A25-1
2020-07-10,-183.90766,5,A25-2
2020-07-10,132.13957,5,A26
2020-07-10,-334.95779,5,A27
2020-07-10,284.85963,5,A28
2020-07-10,-120.2425,5,A29
2020-07-10,64.111534,5,A3
2020-07-10,-214.71529,5,A30
2020-07-10,-49.248071,5,A31-1
2020-07-10,-49.248071,5,A31-2
2020-07-10,102.13866,5,A32-1
2020-07-10,102.13866,5,A32-2
2020-07-10,73.645469,5,A33-1
2020-07-10,73.645469,5,A33-2
2020-07-10,-287.95971,5,A34
2020-07-10,40.831334,5,A4
2020-07-10,45.300558,5,A5
2020-07-10,53.091783,5,A6
2020-07-10,-132.13957,5,A7
2020-07-10,7.88608,5,A8
