Curtailment,Date,Generator,Hour,Output,Output DA,Unit Market Revenue,Unit Uplift Payment
0.0,2020-07-10,102_PV_2,4,0.0,,,
0.0,2020-07-10,103_PV_1,4,0.0,,,
0.0,2020-07-10,104_PV_1,4,0.0,,,
0.0,2020-07-10,113_PV_1,4,0.0,,,
0.0,2020-07-10,118_RTPV_1,4,0.0,,,
0.0,2020-07-10,118_RTPV_10,4,0.0,,,
0.0,2020-07-10,118_RTPV_2,4,0.0,,,
0.0,2020-07-10,118_RTPV_3,4,0.0,,,
0.0,2020-07-10,118_RTPV_4,4,0.0,,,
0.0,2020-07-10,118_RTPV_5,4,0.0,,,
0.0,2020-07-10,118_RTPV_6,4,0.0,,,
0.0,2020-07-10,118_RTPV_7,4,0.0,,,
0.0,2020-07-10,118_RTPV_8,4,0.0,,,
0.0,2020-07-10,118_RTPV_9,4,0.0,,,
0.0,2020-07-10,119_PV_1,4,0.0,,,
0.0,2020-07-10,122_HYDRO_1,4,20.308333,,,
0.0,2020-07-10,122_HYDRO_2,4,20.308333,,,
0.0,2020-07-10,122_HYDRO_3,4,20.308333,,,
0.0,2020-07-10,122_HYDRO_4,4,20.308333,,,
0.0,2020-07-10,122_HYDRO_5,4,20.308333,,,
0.0,2020-07-10,122_HYDRO_6,4,20.308333,,,
3e-06,2020-07-10,122_WIND_1,4,496.75833,,,
0.0,2020-07-10,201_HYDRO_4,4,9.283333,,,
0.0,2020-07-10,212_CSP_1,4,0.0,,,
0.0,2020-07-10,213_RTPV_1,4,0.0,,,
0.0,2020-07-10,215_HYDRO_1,4,9.283333,,,
0.0,2020-07-10,215_HYDRO_2,4,9.283333,,,
0.0,2020-07-10,215_HYDRO_3,4,9.283333,,,
0.0,2020-07-10,215_PV_1,4,0.0,,,
0.0,2020-07-10,222_HYDRO_1,4,9.283333,,,
0.0,2020-07-10,222_HYDRO_2,4,9.283333,,,
0.0,2020-07-10,222_HYDRO_3,4,9.283333,,,
0.0,2020-07-10,222_HYDRO_4,4,9.283333,,,
0.0,2020-07-10,222_HYDRO_5,4,9.283333,,,
0.0,2020-07-10,222_HYDRO_6,4,9.283333,,,
0.0,2020-07-10,303_WIND_1,4,121.05,,,
0.0,2020-07-10,308_RTPV_1,4,0.0,,,
0.0,2020-07-10,309_WIND_1,4,26.925,,,
0.0,2020-07-10,310_PV_1,4,0.0,,,
0.0,2020-07-10,310_PV_2,4,0.0,,,
0.0,2020-07-10,312_PV_1,4,0.0,,,
